held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_009,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07609902606210973,0.07426146028093028
dyad_010,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07140706332259797,0.07426146028093028
dyad_011,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.0723830530444185,0.07426146028093028
dyad_001,S1_vs_S2,any_partner_gaze_count_session_mean,2.9520425797721943,2.63401497343042
dyad_002,S1_vs_S2,any_partner_gaze_count_session_mean,2.9315992249562157,2.63401497343042
dyad_003,S1_vs_S2,any_partner_gaze_count_session_mean,2.8411307564877477,2.63401497343042
dyad_004,S1_vs_S2,any_partner_gaze_count_session_mean,2.7070386632292704,2.63401497343042
dyad_005,S1_vs_S2,any_partner_gaze_count_session_mean,2.4059085342655253,2.63401497343042
dyad_006,S1_vs_S2,any_partner_gaze_count_session_mean,2.632902140451169,2.63401497343042
dyad_007,S1_vs_S2,any_partner_gaze_count_session_mean,2.6169584174998746,2.63401497343042
dyad_008,S1_vs_S2,any_partner_gaze_count_session_mean,2.0487024646230565,2.63401497343042
dyad_009,S1_vs_S2,any_partner_gaze_count_session_mean,2.60566562902262,2.63401497343042
dyad_010,S1_vs_S2,any_partner_gaze_count_session_mean,2.6708101359318333,2.63401497343042
dyad_011,S1_vs_S2,any_partner_gaze_count_session_mean,2.5614061614951114,2.63401497343042
dyad_001,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.07922503996208097,-0.08373438326838611
dyad_002,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.07665652513131035,-0.08373438326838611
dyad_003,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.07383640048007986,-0.08373438326838611
dyad_004,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.08170209460444806,-0.08373438326838611
dyad_005,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.0871998740341134,-0.08373438326838611
dyad_006,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.09614549053569695,-0.08373438326838611
dyad_007,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.0775750958902273,-0.08373438326838611
dyad_008,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.0945986952555129,-0.08373438326838611
dyad_009,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.08649933161960255,-0.08373438326838611
dyad_010,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.08438078917926424,-0.08373438326838611
dyad_011,S1_vs_S3,hand_to_hand_min_min_session_mean,-0.08325887925991057,-0.08373438326838611
dyad_001,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.1149056504165974,0.10551004748667504
dyad_002,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.11520897746846634,0.10551004748667504
dyad_003,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.10984678502107534,0.10551004748667504
dyad_004,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.09602475532922594,0.10551004748667504
dyad_005,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.10299084387164543,0.10551004748667504
dyad_006,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.10059727613619325,0.10551004748667504
dyad_007,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.11674107948920161,0.10551004748667504
dyad_008,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.08436351556434174,0.10551004748667504
dyad_009,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.11700863921626285,0.10551004748667504
dyad_010,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.1053441205395873,0.10551004748667504
dyad_011,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,0.09757887930082824,0.10551004748667504
dyad_001,S1_vs_S2,p1_partner_gaze_count_session_mean,2.302465253968942,2.3575816169852466
dyad_002,S1_vs_S2,p1_partner_gaze_count_session_mean,2.745257410601403,2.3575816169852466
dyad_003,S1_vs_S2,p1_partner_gaze_count_session_mean,2.5417564453504378,2.3575816169852466
dyad_004,S1_vs_S2,p1_partner_gaze_count_session_mean,2.5116208081764397,2.3575816169852466
dyad_005,S1_vs_S2,p1_partner_gaze_count_session_mean,2.0749094435867694,2.3575816169852466
dyad_006,S1_vs_S2,p1_partner_gaze_count_session_mean,2.4797789445140372,2.3575816169852466
dyad_007,S1_vs_S2,p1_partner_gaze_count_session_mean,2.3567950935953967,2.3575816169852466
dyad_008,S1_vs_S2,p1_partner_gaze_count_session_mean,1.94114520222305,2.3575816169852466
dyad_009,S1_vs_S2,p1_partner_gaze_count_session_mean,2.3890468493908417,2.3575816169852466
dyad_010,S1_vs_S2,p1_partner_gaze_count_session_mean,2.2809114227260037,2.3575816169852466
dyad_011,S1_vs_S2,p1_partner_gaze_count_session_mean,2.3097109127043898,2.3575816169852466
dyad_001,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.06162383747898187,0.05518156837399713
dyad_002,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.06500448711615876,0.05518156837399713
dyad_003,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.06013424902092066,0.05518156837399713
dyad_004,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.055854153791590935,0.05518156837399713
dyad_005,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.052869612489979775,0.05518156837399713
dyad_006,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.053431438352818786,0.05518156837399713
dyad_007,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.054912267065213294,0.05518156837399713
dyad_008,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.04374909153326807,0.05518156837399713
dyad_009,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.049651464829803135,0.05518156837399713
dyad_010,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.055345275739300315,0.05518156837399713
dyad_011,S1_vs_S2,partner_gaze_ratio_mean_session_mean,0.05442137469593293,0.05518156837399713
dyad_001,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.2766301463346621,0.2620822507870128
dyad_002,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.2681231656984039,0.2620822507870128
dyad_003,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.2402785711038093,0.2620822507870128
dyad_004,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.27088549583844584,0.2620822507870128
dyad_005,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.26517760108617255,0.2620822507870128
dyad_006,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.30722099889459775,0.2620822507870128
dyad_007,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.2945638141778873,0.2620822507870128
dyad_008,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.22318703722998573,0.2620822507870128
dyad_009,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.23377869135392954,0.2620822507870128
