session_label,window_idx,cluster
20260505_192656_order4,420,5
20260505_192656_order4,450,5
20260505_192656_order4,480,5
20260505_192656_order4,510,5
20260505_192656_order4,540,4
20260505_192656_order4,570,4
20260505_192656_order4,600,4
20260505_192656_order4,630,5
20260505_192656_order4,660,5
20260505_192656_order4,690,5
20260505_192656_order4,720,5
20260505_192656_order4,840,4
20260505_192656_order4,870,4
20260505_192656_order4,900,5
20260505_192656_order4,930,2
20260505_192656_order4,960,5
20260505_192656_order4,990,5
20260505_192656_order4,1020,5
20260505_192656_order4,1050,5
20260505_192656_order4,1080,4
20260505_192656_order4,1110,4
20260505_192656_order4,1140,3
20260505_192656_order4,1170,4
20260505_192656_order4,1200,4
20260505_192656_order4,1230,4
20260505_192656_order4,1260,4
20260505_192656_order4,1290,4
20260505_192656_order4,1320,4
20260505_192656_order4,1380,4
20260505_192656_order4,1410,4
20260505_192656_order4,1440,4
20260505_192656_order4,1470,4
20260505_192656_order4,1500,4
20260505_192656_order4,1530,5
20260505_192656_order4,1560,3
20260505_192656_order4,1590,4
20260505_192656_order4,1620,4
20260505_192656_order4,1650,4
20260505_192656_order4,1740,5
20260505_192656_order4,1770,5
20260505_192656_order4,1860,5
20260505_192656_order4,1890,5
20260505_192656_order4,1920,5
20260505_192656_order4,1950,5
20260505_192656_order4,2040,5
20260505_192656_order4,2070,5
20260505_192656_order4,2100,5
20260505_192656_order4,2130,5
20260505_192656_order4,2160,5
20260505_192656_order4,2190,5
20260505_192656_order4,2250,4
20260505_192656_order4,2280,5
20260505_192656_order4,2310,5
20260505_192656_order4,2340,5
20260505_192656_order4,2370,5
20260505_192656_order4,2400,5
20260505_192656_order4,2430,5
20260505_192656_order4,2460,5
20260505_192656_order4,2490,5
20260505_192656_order4,2520,4
20260505_192656_order4,2550,4
20260505_192656_order4,2580,4
20260505_192656_order4,2610,4
20260505_192656_order4,2640,4
20260505_192656_order4,2670,4
20260505_192656_order4,2700,4
20260505_192656_order4,2730,4
20260505_192656_order4,2760,5
20260505_192656_order4,2790,5
20260505_192656_order4,2880,0
20260505_192656_order4,2910,5
20260505_192656_order4,2940,5
20260505_192656_order4,2970,5
20260505_192656_order4,3000,5
20260505_192656_order4,3030,2
20260505_192656_order4,3060,2
20260505_192656_order4,3090,2
20260505_192656_order4,3120,2
20260505_192656_order4,3150,2
20260505_192656_order4,3180,3
20260505_192656_order4,3210,3
20260505_192656_order4,3240,0
20260505_192656_order4,3270,0
