session_a,session_b,cosine_similarity
20260505_191548_order2,20260510_145409_order4,0.9792604183497481
20260505_191548_order2,20260510_154339_order1,0.8637788997170863
20260505_191548_order2,20260510_154923_order2,0.998617828282786
20260505_191548_order2,20260510_155222_order3,0.9990561573135501
20260505_191548_order2,20260510_155501_order4,0.9970544844309933
20260505_191759_order3,20260505_192656_order4,0.9913461034234691
20260505_191759_order3,20260507_134304_order1,0.4602113873104112
20260505_191759_order3,20260507_135022_order2,0.5194152969738125
20260505_191759_order3,20260507_135244_order3,0.9021342201494927
20260505_191759_order3,20260507_135359_order4,0.7980413676052295
20260505_191759_order3,20260507_141202_order1,0.5533264217224222
20260505_191759_order3,20260507_142235_order2,0.6016302910528821
20260505_191759_order3,20260507_143033_order3,0.921146214788125
20260505_191759_order3,20260507_143442_order4,0.9967290466647484
20260505_191759_order3,20260507_151153_order1,0.9914542943008827
20260505_191759_order3,20260507_151733_order2,0.9805806745370741
20260505_191759_order3,20260507_152058_order3,0.9948934047934133
20260505_191759_order3,20260507_152317_order4,0.9999999986153848
20260505_191759_order3,20260507_154437_order1,0.9805806745370741
20260505_191759_order3,20260507_154803_order2,0.9838699089220615
20260505_191759_order3,20260507_155406_order3,0.9805806745370741
20260505_191759_order3,20260507_155542_order4,0.9805806745370741
20260505_191759_order3,20260510_112436_order1,0.9805806745370741
20260505_191759_order3,20260510_112937_order2,0.9851757585458532
20260505_191759_order3,20260510_113403_order3,0.9876355272567954
20260505_191759_order3,20260510_113658_order4,0.9884227294088287
20260505_191759_order3,20260510_121708_order1,0.44721359485380413
20260505_191759_order3,20260510_122126_order2,0.9909465085242214
20260505_191759_order3,20260510_122534_order3,0.9922778752367445
20260505_191759_order3,20260510_122925_order4,0.9997185891731051
20260505_191759_order3,20260510_140907_order1,0.67910925217579
20260505_191759_order3,20260510_141947_order2,0.8320502929532283
20260505_191759_order3,20260510_142206_order3,0.44721359485380413
20260505_191759_order3,20260510_142353_order4,0.5774647197299
20260505_191759_order3,20260510_144735_order1,0.9647638197146553
20260505_191759_order3,20260510_145002_order2,0.9157882072931748
20260505_191759_order3,20260510_145207_order3,0.9856222533144563
20260505_191759_order3,20260510_145409_order4,0.9999780704678495
20260505_191759_order3,20260510_154339_order1,0.9458221349023229
20260505_191759_order3,20260510_154923_order2,0.9895329798393122
20260505_191759_order3,20260510_155222_order3,0.9881739021469874
20260505_191759_order3,20260510_155501_order4,0.9927337807794097
20260505_192656_order4,20260507_134304_order1,0.5727751791549311
20260505_192656_order4,20260507_135022_order2,0.6270969657081867
20260505_192656_order4,20260507_135244_order3,0.9509661951391585
20260505_192656_order4,20260507_135359_order4,0.8702413489192169
20260505_192656_order4,20260507_141202_order1,0.657884693441213
20260505_192656_order4,20260507_142235_order2,0.7012823061335527
20260505_192656_order4,20260507_143033_order3,0.9642688015736781
20260505_192656_order4,20260507_143442_order4,0.9987124917377875
20260505_192656_order4,20260507_151153_order1,0.9657490485973244
20260505_192656_order4,20260507_151733_order2,0.9463498548666099
20260505_192656_order4,20260507_152058_order3,0.9995333601427353
20260505_192656_order4,20260507_152317_order4,0.9913461034234691
20260505_192656_order4,20260507_154437_order1,0.9463498548666099
20260505_192656_order4,20260507_154803_order2,0.9518725695102912
20260505_192656_order4,20260507_155406_order3,0.9463498548666099
20260505_192656_order4,20260507_155542_order4,0.9463498548666099
20260505_192656_order4,20260510_112436_order1,0.9463498548666099
20260505_192656_order4,20260510_112937_order2,0.9541303320038297
20260505_192656_order4,20260510_113403_order3,0.9585091081254425
20260505_192656_order4,20260510_113658_order4,0.9599514406115862
20260505_192656_order4,20260510_121708_order1,0.5607586169372456
20260505_192656_order4,20260510_122126_order2,0.999995469023578
20260505_192656_order4,20260510_122534_order3,0.9999733597869077
20260505_192656_order4,20260510_122925_order4,0.9879530262254489
20260505_192656_order4,20260510_140907_order1,0.7695924161295408
20260505_192656_order4,20260510_141947_order2,0.8976676089501561
20260505_192656_order4,20260510_142206_order3,0.5607586169372456
20260505_192656_order4,20260510_142353_order4,0.6796416627579349
20260505_192656_order4,20260510_144735_order1,0.9909553662724792
20260505_192656_order4,20260510_145002_order2,0.9605908400463096
20260505_192656_order4,20260510_145207_order3,0.9992733613914618
20260505_192656_order4,20260510_145409_order4,0.9921937111516034
